kalimat,label
Film ini sangat bagus dan menarik ke-1,positif
Film ini sangat bagus dan menarik ke-2,positif
Film ini sangat bagus dan menarik ke-3,positif
Film ini sangat bagus dan menarik ke-4,positif
Film ini sangat bagus dan menarik ke-5,positif
Film ini sangat bagus dan menarik ke-6,positif
Film ini sangat bagus dan menarik ke-7,positif
Film ini sangat bagus dan menarik ke-8,positif
Film ini sangat bagus dan menarik ke-9,positif
Film ini sangat bagus dan menarik ke-10,positif
Film ini sangat bagus dan menarik ke-11,positif
Film ini sangat bagus dan menarik ke-12,positif
Film ini sangat bagus dan menarik ke-13,positif
Film ini sangat bagus dan menarik ke-14,positif
Film ini sangat bagus dan menarik ke-15,positif
Film ini sangat bagus dan menarik ke-16,positif
Film ini sangat bagus dan menarik ke-17,positif
Film ini sangat bagus dan menarik ke-18,positif
Film ini sangat bagus dan menarik ke-19,positif
Film ini sangat bagus dan menarik ke-20,positif
Film ini sangat bagus dan menarik ke-21,positif
Film ini sangat bagus dan menarik ke-22,positif
Film ini sangat bagus dan menarik ke-23,positif
Film ini sangat bagus dan menarik ke-24,positif
Film ini sangat bagus dan menarik ke-25,positif
Film ini sangat bagus dan menarik ke-26,positif
Film ini sangat bagus dan menarik ke-27,positif
Film ini sangat bagus dan menarik ke-28,positif
Film ini sangat bagus dan menarik ke-29,positif
Film ini sangat bagus dan menarik ke-30,positif
Film ini sangat bagus dan menarik ke-31,positif
Film ini sangat bagus dan menarik ke-32,positif
Film ini sangat bagus dan menarik ke-33,positif
Film ini sangat bagus dan menarik ke-34,positif
Film ini sangat bagus dan menarik ke-35,positif
Film ini sangat bagus dan menarik ke-36,positif
Film ini sangat bagus dan menarik ke-37,positif
Film ini sangat bagus dan menarik ke-38,positif
Film ini sangat bagus dan menarik ke-39,positif
Film ini sangat bagus dan menarik ke-40,positif
Film ini sangat bagus dan menarik ke-41,positif
Film ini sangat bagus dan menarik ke-42,positif
Film ini sangat bagus dan menarik ke-43,positif
Film ini sangat bagus dan menarik ke-44,positif
Film ini sangat bagus dan menarik ke-45,positif
Film ini sangat bagus dan menarik ke-46,positif
Film ini sangat bagus dan menarik ke-47,positif
Film ini sangat bagus dan menarik ke-48,positif
Film ini sangat bagus dan menarik ke-49,positif
Film ini sangat bagus dan menarik ke-50,positif
Film ini sangat bagus dan menarik ke-51,positif
Film ini sangat bagus dan menarik ke-52,positif
Film ini sangat bagus dan menarik ke-53,positif
Film ini sangat bagus dan menarik ke-54,positif
Film ini sangat bagus dan menarik ke-55,positif
Film ini sangat bagus dan menarik ke-56,positif
Film ini sangat bagus dan menarik ke-57,positif
Film ini sangat bagus dan menarik ke-58,positif
Film ini sangat bagus dan menarik ke-59,positif
Film ini sangat bagus dan menarik ke-60,positif
Film ini sangat bagus dan menarik ke-61,positif
Film ini sangat bagus dan menarik ke-62,positif
Film ini sangat bagus dan menarik ke-63,positif
Film ini sangat bagus dan menarik ke-64,positif
Film ini sangat bagus dan menarik ke-65,positif
Film ini sangat bagus dan menarik ke-66,positif
Film ini sangat bagus dan menarik ke-67,positif
Film ini sangat bagus dan menarik ke-68,positif
Film ini sangat bagus dan menarik ke-69,positif
Film ini sangat bagus dan menarik ke-70,positif
Film ini sangat bagus dan menarik ke-71,positif
Film ini sangat bagus dan menarik ke-72,positif
Film ini sangat bagus dan menarik ke-73,positif
Film ini sangat bagus dan menarik ke-74,positif
Film ini sangat bagus dan menarik ke-75,positif
Film ini sangat bagus dan menarik ke-76,positif
Film ini sangat bagus dan menarik ke-77,positif
Film ini sangat bagus dan menarik ke-78,positif
Film ini sangat bagus dan menarik ke-79,positif
Film ini sangat bagus dan menarik ke-80,positif
Film ini sangat bagus dan menarik ke-81,positif
Film ini sangat bagus dan menarik ke-82,positif
Film ini sangat bagus dan menarik ke-83,positif
Film ini sangat bagus dan menarik ke-84,positif
Film ini sangat bagus dan menarik ke-85,positif
Film ini sangat bagus dan menarik ke-86,positif
Film ini sangat bagus dan menarik ke-87,positif
Film ini sangat bagus dan menarik ke-88,positif
Film ini sangat bagus dan menarik ke-89,positif
Film ini sangat bagus dan menarik ke-90,positif
Film ini sangat bagus dan menarik ke-91,positif
Film ini sangat bagus dan menarik ke-92,positif
Film ini sangat bagus dan menarik ke-93,positif
Film ini sangat bagus dan menarik ke-94,positif
Film ini sangat bagus dan menarik ke-95,positif
Film ini sangat bagus dan menarik ke-96,positif
Film ini sangat bagus dan menarik ke-97,positif
Film ini sangat bagus dan menarik ke-98,positif
Film ini sangat bagus dan menarik ke-99,positif
Film ini sangat bagus dan menarik ke-100,positif
Film ini sangat bagus dan menarik ke-101,negatif
Film ini sangat bagus dan menarik ke-102,negatif
Film ini sangat bagus dan menarik ke-103,negatif
Film ini sangat bagus dan menarik ke-104,negatif
Film ini sangat bagus dan menarik ke-105,negatif
Film ini sangat bagus dan menarik ke-106,negatif
Film ini sangat bagus dan menarik ke-107,negatif
